Metric,Mean,Std,Sheet,Year
G-xG,0.16923076923076924,1.6291023169139374,shooting_2018,2018
np:G-xG,0.19999999999999998,1.6253204812179862,shooting_2018,2018
Cmp,202.46153846153845,211.74694621356227,passing_2018,2018
Att,310.0769230769231,315.1069822400168,passing_2018,2018
Cmp%,63.91538461538461,13.544546636552424,passing_2018,2018
TotDist,2814.6153846153848,2959.944975233536,passing_2018,2018
PrgDist,1072.6923076923076,1180.9254410994358,passing_2018,2018
Cmp.1,122.38461538461539,127.66266647010164,passing_2018,2018
Att.1,158.0,161.4192264467485,passing_2018,2018
Cmp%.1,75.83846153846154,10.764489340848026,passing_2018,2018
Cmp.2,55.38461538461539,58.208731391917574,passing_2018,2018
Att.2,86.23076923076923,87.2402371291996,passing_2018,2018
Cmp%.2,60.26666666666666,10.912572676699222,passing_2018,2018
Cmp.3,11.615384615384615,16.327576170079364,passing_2018,2018
Att.3,29.692307692307693,38.09283531799783,passing_2018,2018
Cmp%.3,41.26666666666667,9.781739326031145,passing_2018,2018
xA,1.5,1.6822603841260722,passing_2018,2018
A-xAG,-0.17692307692307693,0.9238992064017284,passing_2018,2018
KP,12.23076923076923,14.822021039396336,passing_2018,2018
1/3,20.53846153846154,24.544569611950777,passing_2018,2018
PPA,11.307692307692308,11.73587530739694,passing_2018,2018
CrsPA,1.5384615384615385,1.7134460703206962,passing_2018,2018
Touches,419.7692307692308,414.68545385753004,possession_2018,2018
Def Pen,5.3076923076923075,4.714951667914448,possession_2018,2018
Def 3rd,43.53846153846154,44.336996185682565,possession_2018,2018
Mid 3rd,176.46153846153845,182.86270595933232,possession_2018,2018
Att 3rd,205.92307692307693,210.73540342431846,possession_2018,2018
Att Pen,37.38461538461539,46.372654408854764,possession_2018,2018
Live,419.53846153846155,414.4841403046714,possession_2018,2018
Att,19.46153846153846,19.96503353622438,possession_2018,2018
Succ,8.692307692307692,8.586662286987258,possession_2018,2018
Succ%,45.388888888888886,11.019691969883329,possession_2018,2018
Tkld,10.692307692307692,11.426465007345998,possession_2018,2018
Tkld%,54.333333333333336,10.897706180660222,possession_2018,2018
Carries,237.0,233.52337498988547,possession_2018,2018
TotDist,1205.4615384615386,1177.4047459974993,possession_2018,2018
PrgDist,533.4615384615385,527.5941646418225,possession_2018,2018
1/3,13.384615384615385,14.092187324533535,possession_2018,2018
CPA,7.0,9.327379053088816,possession_2018,2018
Mis,25.0,24.82270466058577,possession_2018,2018
Dis,17.923076923076923,19.905868223807516,possession_2018,2018
Rec,295.15384615384613,298.30181755895217,possession_2018,2018
Age,21.4,5.358275012642698,standard_stats_2024,2024
MP,18.2,12.272824541327976,standard_stats_2024,2024
Starts,9.8,11.252654007931739,standard_stats_2024,2024
Min,1017.8888888888889,919.4319502340079,standard_stats_2024,2024
90s,11.311111111111112,10.207404719668517,standard_stats_2024,2024
Gls,3.7777777777777777,4.176654695380556,standard_stats_2024,2024
Ast,2.3333333333333335,3.082207001484488,standard_stats_2024,2024
G+A,6.111111111111111,6.173419725817378,standard_stats_2024,2024
G-PK,3.4444444444444446,3.5039660069381062,standard_stats_2024,2024
