Mean,Std,Metric,Sheet,Year
21.5,17.67766952966369,#OPA,advanced_goalkeeping_2024,2024
1.275,0.021213203435596444,#OPA/90,advanced_goalkeeping_2024,2024
15.100000000000001,1.4142135623730963,AvgDist,advanced_goalkeeping_2024,2024
30.0,4.242640687119285,Age,shooting_2024,2024
17.0,14.142135623730951,90s,shooting_2024,2024
0.0,0.0,Gls,shooting_2024,2024
0.0,0.0,Sh,shooting_2024,2024
0.0,0.0,SoT,shooting_2024,2024
,,SoT%,shooting_2024,2024
0.0,0.0,Sh/90,shooting_2024,2024
0.0,0.0,SoT/90,shooting_2024,2024
,,G/Sh,shooting_2024,2024
,,G/SoT,shooting_2024,2024
,,Dist,shooting_2024,2024
0.0,0.0,FK,shooting_2024,2024
0.0,0.0,PK,shooting_2024,2024
0.0,0.0,PKatt,shooting_2024,2024
0.0,0.0,xG,shooting_2024,2024
0.0,0.0,npxG,shooting_2024,2024
,,npxG/Sh,shooting_2024,2024
0.0,0.0,G-xG,shooting_2024,2024
0.0,0.0,np:G-xG,shooting_2024,2024
30.0,4.242640687119285,Age,passing_2024,2024
17.0,14.142135623730951,90s,passing_2024,2024
339.0,315.3696244092002,Cmp,passing_2024,2024
538.0,499.21738751770255,Att,passing_2024,2024
62.900000000000006,0.282842712474618,Cmp%,passing_2024,2024
9882.5,9543.820225674832,TotDist,passing_2024,2024
7420.5,7016.620589714111,PrgDist,passing_2024,2024
62.0,52.32590180780452,Cmp.1,passing_2024,2024
63.0,53.74011537017761,Att.1,passing_2024,2024
99.0,1.4142135623730951,Cmp%.1,passing_2024,2024
162.5,149.19953083036154,Cmp.2,passing_2024,2024
163.0,149.90663761154806,Att.2,passing_2024,2024
99.8,0.28284271247462306,Cmp%.2,passing_2024,2024
114.5,113.84419177103415,Cmp.3,passing_2024,2024
310.5,293.4493141924172,Att.3,passing_2024,2024
35.3,3.2526911934581193,Cmp%.3,passing_2024,2024
0.0,0.0,Ast,passing_2024,2024
0.0,0.0,xAG,passing_2024,2024
0.0,0.0,xA,passing_2024,2024
0.0,0.0,A-xAG,passing_2024,2024
0.0,0.0,KP,passing_2024,2024
8.5,6.363961030678928,1/3,passing_2024,2024
0.0,0.0,PPA,passing_2024,2024
0.0,0.0,CrsPA,passing_2024,2024
0.0,0.0,PrgP,passing_2024,2024
30.0,4.242640687119285,Age,defensive_action_2024,2024
17.0,14.142135623730951,90s,defensive_action_2024,2024
0.0,0.0,Tkl,defensive_action_2024,2024
0.0,0.0,TklW,defensive_action_2024,2024
0.0,0.0,Def 3rd,defensive_action_2024,2024
0.0,0.0,Mid 3rd,defensive_action_2024,2024
0.0,0.0,Att 3rd,defensive_action_2024,2024
0.0,0.0,Tkl.1,defensive_action_2024,2024
1.5,2.1213203435596424,Att,defensive_action_2024,2024
0.0,,Tkl%,defensive_action_2024,2024
1.5,2.1213203435596424,Lost,defensive_action_2024,2024
0.0,0.0,Blocks,defensive_action_2024,2024
0.0,0.0,Sh,defensive_action_2024,2024
0.0,0.0,Pass,defensive_action_2024,2024
0.0,0.0,Int,defensive_action_2024,2024
0.0,0.0,Tkl+Int,defensive_action_2024,2024
12.5,12.020815280171307,Clr,defensive_action_2024,2024
1.0,1.4142135623730951,Err,defensive_action_2024,2024
30.0,4.242640687119285,Age,possession_2024,2024
17.0,14.142135623730951,90s,possession_2024,2024
572.5,539.5224740453358,Touches,possession_2024,2024
455.0,436.9919907732864,Def Pen,possession_2024,2024
570.5,539.5224740453358,Def 3rd,possession_2024,2024
2.0,0.0,Mid 3rd,possession_2024,2024
0.0,0.0,Att 3rd,possession_2024,2024
0.0,0.0,Att Pen,possession_2024,2024
572.5,539.5224740453358,Live,possession_2024,2024
0.5,0.7071067811865476,Att,possession_2024,2024
0.5,0.7071067811865476,Succ,possession_2024,2024
100.0,,Succ%,possession_2024,2024
0.0,0.0,Tkld,possession_2024,2024
0.0,,Tkld%,possession_2024,2024
313.5,304.763022691402,Carries,possession_2024,2024
1386.5,1209.859702610183,TotDist,possession_2024,2024
779.0,762.2611101190982,PrgDist,possession_2024,2024
0.0,0.0,PrgC,possession_2024,2024
0.0,0.0,1/3,possession_2024,2024
0.0,0.0,CPA,possession_2024,2024
0.5,0.7071067811865476,Mis,possession_2024,2024
0.0,0.0,Dis,possession_2024,2024
257.5,255.26554800834364,Rec,possession_2024,2024
0.0,0.0,PrgR,possession_2024,2024
